Pays_indic,Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
DOM_Exports of goods and services (current US$),Dominican Republic,DOM,Exports of goods and services (current US$),8627787837.027803,8164561739.859801,8337730915.705096,9022076949.267962,9185102419.968369,10136192822.328178,10691561561.561577,11766035397.455784,11504530547.280407,10149743214.536964,12213199947.767567,14035641484.532375,14917450219.256071,15775319665.92776,16896682554.222916,16909888522.252539,18100528866.48287,18945236857.422176,20149516087.10755
DOM_GDP (current US$),Dominican Republic,DOM,GDP (current US$),24305116729.1701,25601765403.0896,27137508655.3127,21403167849.0353,22322395369.1384,35777570134.0385,37879869898.3451,43965420071.0915,48122547176.8322,48261033297.3001,53860175556.5208,58029750744.3809,60681537194.7076,62682163837.6521,67179914026.2773,71164825257.7372,75704720189.6204,79997975622.7604,85555378043.7999
DOM_GDP per capita (current US$),Dominican Republic,DOM,GDP per capita (current US$),2869.1058607235,2977.43381779078,3110.3250903656203,2418.3504216894503,2487.32906118066,3932.78656786749,4109.03136285855,4707.79253177572,5087.9853645516905,5039.40259582153,5555.3897219561095,5913.43207211309,6110.36965236196,6238.13360825277,6608.8281018076905,6921.51722848184,7280.88010923336,7609.33879952227,8050.63044036673
DOM_Gross capital formation (% of GDP),Dominican Republic,DOM,Gross capital formation (% of GDP),27.8926622003661,26.7706440814775,26.956755674401602,19.409162743835303,20.627348654368102,24.773071142811304,26.9268715011731,28.3513909817143,30.023722550576803,23.5734833513734,26.3799659316476,25.0262554164078,24.295744544366396,22.7236665050216,23.112939686353002,23.4421451658398,22.9721903641325,22.471884318540802,25.7956709176637
"DOM_Unemployment, total (% of total labor force) (modeled ILO estimate)",Dominican Republic,DOM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.43200016021729,7.26200008392334,6.77899980545044,6.9380002021789595,6.30299997329712,6.58699989318848,5.65500020980835,5.15799999237061,4.763999938964839,5.46700000762939,5.211999893188481,6.08699989318848,6.72200012207031,7.3520002365112305,6.718999862670901,7.60500001907349,7.28299999237061,5.8319997787475595,5.7389998435974094
DZA_Exports of goods and services (current US$),Algeria,DZA,Exports of goods and services (current US$),23050102311.98511,20085454898.65957,20152476092.467575,25957119968.990273,34175414544.798565,48714922833.16708,57121832267.44273,63469316608.996414,82038309074.01671,48532072952.512215,61955415938.718094,77674908716.54099,77109084461.63782,69649242882.33794,65201041459.78153,38548939876.56783,33394899059.102924,38511674028.66684,45231560891.938194
DZA_GDP (current US$),Algeria,DZA,GDP (current US$),54790233855.965996,54744725765.7191,56760246981.7525,67863841333.4195,85325003122.0947,103198251003.394,117027321306.159,134845573817.762,171008067513.162,137206139022.71199,161155315145.814,200254371997.255,209021250805.932,209724351221.97,213860450595.82898,166361491140.75302,159994837855.12,170163165960.516,175405660377.358
DZA_GDP per capita (current US$),Algeria,DZA,GDP per capita (current US$),1765.0221981750303,1740.60701070604,1781.8255458410897,2103.38182192144,2609.9528233141,3113.0953308508397,3478.71092859121,3946.6644517917,4923.84318504191,3883.1324252977397,4479.34171958005,5462.260897231829,5591.212353224039,5498.78409497823,5494.3523360423,4187.50972747204,3945.48208133854,4111.29411013269,4153.73397805915
DZA_Gross capital formation (% of GDP),Algeria,DZA,Gross capital formation (% of GDP),23.5639150404037,26.8410527844766,30.653391616199798,30.3406569513446,33.263540114784,31.656404812175,30.170456583832003,34.4694714114537,37.3484450547873,46.8764567829177,41.430281797199605,38.053207002130605,39.1527260577344,43.411158475723,45.6265759153854,50.7807182086478,50.7777298857654,48.543444655174206,47.2787901605198
"DZA_Unemployment, total (% of total labor force) (modeled ILO estimate)",Algeria,DZA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",29.7700004577637,27.2999992370605,25.899999618530302,23.719999313354503,17.6499996185303,15.270000457763699,12.270000457763699,13.789999961853,11.3299999237061,10.1599998474121,9.96000003814697,9.96000003814697,10.970000267028801,9.81999969482422,10.2069997787476,11.206000328064,10.2019996643066,11.996000289917,11.8819999694824
ECU_Exports of goods and services (current US$),Ecuador,ECU,Exports of goods and services (current US$),5888259129.564771,5682217000.000008,6135846000.000003,7329306999.999995,8984844000.000006,11463498999.999992,14196499000.0,16287685000.000011,21100363999.999992,15785662999.999973,19402438999.999985,24671848999.999985,26522270999.99999,27243506000.000004,28536122000.00004,21107369000.000034,19492638999.99996,21727767000.000034,24314052000.0
ECU_GDP (current US$),Ecuador,ECU,GDP (current US$),18327764882.4412,24468324000.0,28548945000.0,32432858000.0,36591661000.0,41507085000.0,46802044000.0,51007777000.0,61762635000.0,62519686000.0,69555367000.0,79276664000.0,87924544000.0,95129659000.0,101726331000.0,99290381000.0,99937696000.0,104295862000.0,107562008000.0
ECU_GDP per capita (current US$),Ecuador,ECU,GDP per capita (current US$),1445.27932442901,1894.61516893932,2172.1018772447,2425.85184175715,2691.27808061965,3002.13686727475,3328.88297239765,3567.83643782206,4249.01926210976,4231.615797678471,4633.59035839904,5200.55579014874,5682.045006553531,6056.3308269681,6377.09153014217,6124.49164262072,6060.09332904416,6213.50127649921,6295.93539868079
ECU_Gross capital formation (% of GDP),Ecuador,ECU,Gross capital formation (% of GDP),21.2787210115008,22.349193185442502,23.702378494196502,19.589553285745,20.199006544141298,21.6371012322354,22.459813934622197,22.704827932415103,26.387507592575997,25.639265046852604,28.0373130660068,28.142398877934603,27.7958359385975,28.4670577868885,28.314438077984,26.870098323018798,24.9790349379277,26.280259326108304,26.7477648799565
"ECU_Unemployment, total (% of total labor force) (modeled ILO estimate)",Ecuador,ECU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.7989997863769505,4.2519998550414995,4.95499992370605,5.662000179290769,5.0019998550414995,3.77800011634827,3.54999995231628,3.14199995994568,3.91700005531311,4.60799980163574,4.087999820709229,3.45799994468689,3.23499989509583,3.08299994468689,3.4800000190734903,3.6159999370575,4.59700012207031,3.8359999656677206,3.52999997138977
EGY_Exports of goods and services (current US$),"Egypt, Arab Rep.",EGY,Exports of goods and services (current US$),16174959635.990059,16900269541.778963,15595505617.977531,17499999999.999954,22240259740.25972,27188019966.722122,32173913043.47831,39457092819.6146,53800000000.00006,47205081669.6915,46751361161.52451,48537005163.51127,45766666666.66666,49085271317.82962,43529411764.70595,43423180592.992,34392638036.80982,37289402173.9131,47225661226.78676
EGY_GDP (current US$),"Egypt, Arab Rep.",EGY,GDP (current US$),99838543960.0763,96684636118.5984,85146067415.7303,80288461538.4615,78782467532.4675,89600665557.4043,107426086956.52199,130437828371.27802,162818181818.182,189147005444.64603,218983666061.70602,235989672977.625,279116666666.667,288434108527.132,305595408895.265,329366576819.407,332441717791.411,235733695652.17398,249712999437.254
EGY_GDP per capita (current US$),"Egypt, Arab Rep.",EGY,GDP per capita (current US$),1450.4762424329801,1378.20340298422,1191.10325520445,1102.4682750534,1062.1580919339801,1186.39342318958,1397.43681729491,1667.3179554302098,2044.52785549853,2331.2685815110603,2645.96904651925,2791.8107989556797,3229.6856303038,3262.65802934248,3379.55850951075,3562.93273506849,3519.8732025425898,2444.29031115094,2537.1253654904
EGY_Gross capital formation (% of GDP),"Egypt, Arab Rep.",EGY,Gross capital formation (% of GDP),19.553072625698302,18.2603847226094,17.9994721562418,16.8862275449102,16.9379765093756,17.975858867223803,18.7307754573418,20.8512352309345,22.3897264098269,19.1901746305891,19.501077407591602,17.1030559404857,16.0267510598913,14.211997419909698,13.643192488262901,14.2886370146078,15.0402303092936,15.2737752161383,16.6561499977464
"EGY_Unemployment, total (% of total labor force) (modeled ILO estimate)","Egypt, Arab Rep.",EGY,"Unemployment, total (% of total labor force) (modeled ILO estimate)",8.97999954223633,9.26000022888184,10.010000228881802,11.0100002288818,10.3199996948242,11.1999998092651,10.489999771118198,8.80000019073486,8.51700019836426,9.08699989318848,8.75699996948242,11.8489999771118,12.5970001220703,13.1540002822876,13.104999542236301,13.052000045776401,12.4069995880127,11.7370004653931,11.5920000076294
EMU_Exports of goods and services (current US$),Euro area,EMU,Exports of goods and services (current US$),2290984993081.0015,2324853278375.9277,2477817897452.5845,2979000822396.7617,3571344662465.152,3842475692387.044,4302429808031.467,5087437982207.383,5627374215123.332,4508963788985.957,4909705695993.104,5665347513809.796,5442721776552.766,5686586218156.646,5882010728022.97,5192221388602.051,5253794090293.59,5756765862351.844,6295302755924.124
EMU_GDP (current US$),Euro area,EMU,GDP (current US$),6479499625836.77,6590446636963.66,7166146903956.65,8842875774260.72,10141431551374.2,10519142335365.4,11174369784984.6,12862413685145.5,14099137973401.2,12885825162594.8,12628837653379.8,13623185516340.3,12639557374481.5,13190250310518.0,13490553822082.7,11668482860489.5,11967164887075.7,12671044522003.4,13686889517984.1
EMU_GDP per capita (current US$),Euro area,EMU,GDP per capita (current US$),20165.8326060912,20432.4603204908,22109.1846518183,27134.877690714904,30948.9563727981,31936.1497904881,33767.3020910767,38667.0694135763,42178.295033826296,38423.7564570954,37568.889153629905,40615.3479697679,37599.915754443,39105.1517383111,39858.3739785371,34370.787184202,35147.7422259268,37140.6698528957,40038.5067764355
EMU_Gross capital formation (% of GDP),Euro area,EMU,Gross capital formation (% of GDP),23.6959943177627,23.1106012269655,22.1551832714949,22.084769289786,22.247061061984,22.4478353022572,23.3329084774927,24.0412706642063,23.5806982885635,20.400034646360897,20.991223188280898,21.541929690030305,19.961569876381603,19.5227811521447,19.840604955945498,20.188405995924303,20.404804383208102,21.025641257724303,21.5194439595191
"EMU_Unemployment, total (% of total labor force) (modeled ILO estimate)",Euro area,EMU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",9.42377625815148,8.34744350817263,8.614318874597139,8.958532272001369,9.24583984584353,9.020316719769038,8.31223227575882,7.43506611759678,7.48436960910309,9.53671795476115,10.0703083624,10.110723726273001,11.288656418894,11.928658750734,11.6048663898634,10.839746085102501,10.0274040476421,9.06011736628989,8.18786216591896
ESP_Exports of goods and services (current US$),Spain,ESP,Exports of goods and services (current US$),170488299244.5186,174772259507.83014,187310370788.6316,232067720090.29385,271169605165.136,288082328068.6485,317874796135.99207,382529427867.5068,416446462575.0703,342600722422.8944,368701226683.71564,436754994731.3018,416725769569.7734,446562968501.6613,458509893738.8489,401877001633.0887,417428469683.0076,461350495658.8259,499846082001.56647
ESP_GDP (current US$),Spain,ESP,GDP (current US$),596877648793.072,627286800894.855,705394315829.098,905492099322.7991,1067093369754.16,1153285660987.44,1259343871534.31,1472131125102.66,1625224842536.99,1485583495415.39,1420722034063.0,1478772824224.03,1324820091194.67,1354757433212.72,1369398844599.58,1195119269971.52,1232076017361.53,1312539279462.36,1422153839840.78
ESP_GDP per capita (current US$),Spain,ESP,GDP per capita (current US$),14713.0657111519,15355.7031663439,17025.5319828692,21463.4426577449,24861.282796441297,26419.2968638221,28365.3134896346,32549.9709785513,35366.259601198304,32042.4740786617,30502.7197080776,31636.4463142558,28324.4293363918,29059.5479522321,29461.550333738902,25732.0183647454,26505.3432155204,28170.1678643302,30389.3609902899
ESP_Gross capital formation (% of GDP),Spain,ESP,Gross capital formation (% of GDP),26.6403849033188,26.4590373940967,26.6842060324034,27.503471417210804,28.2853775204,29.3871723618844,30.5653486720268,30.442224782178997,28.4545591375172,23.303342395141602,22.303066348842002,20.571875502344,18.435669125855,17.2156950373794,17.9020072508279,18.996278733098897,18.753321841557103,19.4111718466916,20.4668334660587
"ESP_Unemployment, total (% of total labor force) (modeled ILO estimate)",Spain,ESP,"Unemployment, total (% of total labor force) (modeled ILO estimate)",13.7849998474121,10.347999572753901,11.145999908447301,11.2829999923706,11.0900001525879,9.14599990844727,8.451999664306639,8.23200035095215,11.253999710083,17.857000350952102,19.8600006103516,21.3899993896484,24.787000656127898,26.0939998626709,24.4409999847412,22.056999206543,19.6350002288818,17.2240009307861,15.255000114440902
EST_Exports of goods and services (current US$),Estonia,EST,Exports of goods and services (current US$),3504490924.168435,3831095694.2082157,4270175190.731844,5644211833.785005,7418642236.024876,9230780997.388372,10769819345.126087,14052834656.44674,16160988721.253872,11949522089.46929,14660970487.332075,20077890482.533916,19845436184.95818,21233896346.8191,21775106414.63143,17718448637.075703,18525308898.08481,20385987018.178898,22703453650.265083
EST_GDP (current US$),Estonia,EST,GDP (current US$),5694069842.439879,6259257899.91943,7372457379.674109,9877636630.53297,12144397515.528,14098326078.8459,17012322167.8585,22445583082.398,24371299252.9662,19744110864.1289,19693608289.0773,23391530006.3166,23192708981.8446,25271406707.566,26773473625.1921,23048864242.6072,24259552888.9717,26951648828.5789,30631142226.8533
EST_GDP per capita (current US$),Estonia,EST,GDP per capita (current US$),4075.9706385107106,4509.17820203617,5344.8779350231,7206.1665624875795,8912.99219516932,10406.396692326,12631.5680518102,16741.9392266596,18227.1195304476,14794.9711049549,14790.8209234701,17621.547962894398,17534.421349913002,19174.1003261509,20367.103161316,17522.230186252,18437.252820717298,20458.4607286705,23170.7073775514
EST_Gross capital formation (% of GDP),Estonia,EST,Gross capital formation (% of GDP),28.4386451672828,29.5598806501572,32.9203236144906,35.1843212479716,34.660830748836005,33.3772506135952,39.8569391355289,40.0142376766317,31.5965899372087,20.8915950261371,21.516818082807802,25.449829498384105,29.143491481816,27.0225349217838,26.9217625975038,24.819486277088398,24.908455823882104,26.727061581839198,26.748975445467
"EST_Unemployment, total (% of total labor force) (modeled ILO estimate)",Estonia,EST,"Unemployment, total (% of total labor force) (modeled ILO estimate)",13.359999656677198,13.1339998245239,10.0260000228882,11.2880001068115,10.2480001449585,8.03299999237061,5.91499996185303,4.59200000762939,5.45499992370605,13.5480003356934,16.7070007324219,12.328000068664599,10.0209999084473,8.63099956512451,7.3520002365112305,6.1869997978210405,6.76200008392334,5.7600002288818395,5.36600017547607
FIN_Exports of goods and services (current US$),Finland,FIN,Exports of goods and services (current US$),52835820895.52221,51463087248.32215,54686617730.09612,63920993227.99085,76117457164.1423,82483521950.00616,93431188056.7058,112217355598.1384,127764757580.19647,91103084190.05304,95721453152.59718,107070879949.18329,100243661079.02039,103136231851.38596,100140536033.75815,83008103045.70221,83756701104.82445,95994657970.58846,106288267791.37236
FIN_GDP (current US$),Finland,FIN,GDP (current US$),125706651925.55699,129421029082.774,139738377564.465,171274266365.68802,197116960516.51398,204809103345.355,216907539831.89102,256052559540.10397,284553976856.599,252496526813.004,249181190476.369,275243697751.011,258304834621.605,271285280621.37302,274497230802.958,234440080998.273,240607907010.383,255232257243.53,275946554578.823
FIN_GDP per capita (current US$),Finland,FIN,GDP per capita (current US$),24285.4668205162,24946.1891891404,26869.6749036293,32855.132628780295,37702.8453762641,39040.2888825052,41188.0936997302,48414.845092972195,53554.038922467305,47293.9928335042,46459.973254854296,51081.997670312696,47710.7902169415,49878.043244453605,50260.2998588958,42784.6983616432,43784.283962209796,46336.663253012695,50030.877310650096
FIN_Gross capital formation (% of GDP),Finland,FIN,Gross capital formation (% of GDP),23.8643526186951,23.1773930359267,22.052584082001,22.2268351027025,22.8700285969841,24.6042492728631,23.996367779660698,25.5516592541909,25.2469564769773,21.47270656462,22.082671159703,24.044182264467302,23.3907191213558,22.3344639072831,21.9210525043862,21.7129881495849,23.274855414264604,24.051820672500302,25.3218296357162
"FIN_Unemployment, total (% of total labor force) (modeled ILO estimate)",Finland,FIN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",11.1339998245239,10.289999961853,10.4230003356934,10.4689998626709,10.3579998016357,8.38399982452393,7.718999862670901,6.854000091552731,6.36899995803833,8.24899959564209,8.39400005340576,7.781000137329099,7.68900012969971,8.19299983978271,8.66300010681152,9.37600040435791,8.817999839782711,8.64000034332275,7.36100006103516
FJI_Exports of goods and services (current US$),Fiji,FJI,Exports of goods and services (current US$),1097340975.2889242,1007247650.0043906,1132973615.6202862,1386485916.2358897,1467801500.288516,1611472501.478413,1540665434.3807776,1641930075.1412754,2012612160.3815012,1419133813.97965,1803732471.4591067,2237564131.162169,2427342309.6262393,2383078092.755514,2541856522.1998487,2286803966.437837,2299804267.9142613,2461705936.4265313,2674235891.539714
FJI_GDP (current US$),Fiji,FJI,GDP (current US$),1684109743.49338,1660102345.60309,1842691481.0919602,2315935752.71653,2727507212.92556,3006725014.78415,3102741451.0166397,3405050611.68726,3523185919.55826,2870624635.68032,3140508835.9485,3774530615.65916,3972012570.5346704,4190143206.25611,4856963251.974771,4682546881.15833,4930204219.713039,5353404418.664129,5581393120.62853
FJI_GDP per capita (current US$),Fiji,FJI,GDP per capita (current US$),2076.5687843164897,2039.62569721177,2260.25839838475,2837.8922462081105,3334.93166669792,3659.5793287084202,3747.86071607455,4072.10156984329,4167.67028471654,3362.81655514032,3652.52743714193,4371.45751012411,4591.55578402956,4840.69371615802,5605.5703563549,5390.74525792812,5651.31805482702,6101.0308386649795,6317.4878527697
FJI_Gross capital formation (% of GDP),Fiji,FJI,Gross capital formation (% of GDP),17.261791187002,16.1295913175384,19.748710972454603,21.9949614524464,19.1314576338599,20.856701323257802,18.490160726726,15.4902381364909,23.4231240641198,19.018758361910397,18.7380480125255,20.9985489965315,17.2722328795507,27.633633348859,17.7135241091009,19.7091656465808,19.1513498325664,19.8633329929007,17.623333194494396
"FJI_Unemployment, total (% of total labor force) (modeled ILO estimate)",Fiji,FJI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.93099999427795,3.9289999008178698,3.97399997711182,3.9790000915527304,3.93799996376038,3.88599991798401,3.8540000915527304,3.8340001106262203,3.87700009346008,4.18100023269653,4.32000017166138,4.40500020980835,4.4229998588562,4.44500017166138,4.39599990844727,4.36299991607666,4.31899976730347,4.23699998855591,4.15799999237061
FRA_Exports of goods and services (current US$),France,FRA,Exports of goods and services (current US$),389534733738.7131,389070246085.01227,411392810088.4618,480585778781.03735,560012416190.7124,593679890560.8751,647700414000.7544,740120448946.0713,820631316830.2332,668131425395.9441,707910169575.1719,813250472648.7394,783758210131.3254,825465605391.8673,846143017568.2462,745911734494.1047,747503032909.9198,803163777629.4124,884286927396.0775
FRA_GDP (current US$),France,FRA,GDP (current US$),1362248940482.77,1376465324384.79,1494286655373.61,1840480812641.08,2115742488204.62,2196126103718.44,2318593651988.46,2657213249384.07,2918382891460.38,2690222283967.77,2642609548930.36,2861408170264.6,2683825225092.63,2811077725703.59,2852165760630.27,2438207896251.84,2471285607081.72,2595151045197.65,2787863958885.49
FRA_GDP per capita (current US$),France,FRA,GDP per capita (current US$),22364.0293943406,22433.555714194503,24177.3351674642,29568.385949667998,33741.2651469175,34760.1877663866,36443.6234414411,41508.4339850416,45334.1144358246,41575.418748373704,40638.33400426,43790.7320482019,40874.7035053457,42592.934094334196,43011.2631028417,36638.184929157,37037.3741861219,38812.161034168195,41631.0907389044
FRA_Gross capital formation (% of GDP),France,FRA,Gross capital formation (% of GDP),22.4880544574712,22.164868027564697,21.3155824714122,21.1861288577796,21.889603343624703,22.452623442370896,23.2377116371985,24.1648122965344,24.129884861321603,21.3331598174365,21.946294496686896,23.2209093704773,22.626632273779602,22.2871930659001,22.709831074559304,22.7123240564184,22.6093927432122,23.436190005232397,23.8717373374785
"FRA_Unemployment, total (% of total labor force) (modeled ILO estimate)",France,FRA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",10.2170000076294,8.60999965667725,8.701999664306639,8.30599975585938,8.913999557495119,8.49300003051758,8.447999954223631,7.65700006484985,7.0630002021789595,8.73600006103516,8.87100028991699,8.81099987030029,9.39999961853027,9.920999526977539,10.291999816894501,10.359000205993699,10.057000160217301,9.39700031280518,9.059000015258789
GAB_Exports of goods and services (current US$),Gabon,GAB,Exports of goods and services (current US$),3498457743.6074805,2726388955.0718136,2806922226.6492834,3381594744.1737084,4276663164.801322,5750501082.581139,6255614196.547777,7289977701.110496,9685334716.816177,6319926944.5414295,8287738444.036225,11243840799.10261,10465457223.228865,10092463252.248026,8104569005.663302,6620833366.11911,6175468938.531808,7498597594.241151,8521609542.233114
GAB_GDP (current US$),Gabon,GAB,GDP (current US$),5067865320.7979,5023265365.25169,5335451307.54323,6511903657.44009,7770219479.72648,9582783318.3881,10327598800.6713,12455410055.7483,15571349775.7848,12113699660.6799,14372591916.4792,18210308748.2912,17170465294.0332,17595745653.3676,18203968001.8908,14383107714.0388,14023890620.3384,14929488770.7315,16862282413.8778
GAB_GDP per capita (current US$),Gabon,GAB,GDP per capita (current US$),4125.71666351713,3993.04720676476,4141.4182925319,4933.43600676698,5739.583526107329,6891.3668762396,7221.3294815315585,8458.251739808342,10254.158452055799,7721.00418928077,8849.355299715071,10809.646450590899,9813.477702824399,9683.576290286741,9663.42923977641,7384.71587003183,6984.45101873395,7230.396392684259,7956.6278155868595
GAB_Gross capital formation (% of GDP),Gabon,GAB,Gross capital formation (% of GDP),21.9020564270273,22.745469074983898,25.1070976391096,22.639101475649298,21.496051769699395,21.3645323014692,24.045196261557496,24.8786940506869,25.089897427176698,27.981113361031,29.701113805534895,26.6423895609865,26.9661499641622,29.1805950279998,35.1390486032907,29.2309562924902,26.9822610431075,21.2986084367913,21.7809361041539
"GAB_Unemployment, total (% of total labor force) (modeled ILO estimate)",Gabon,GAB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",17.3649997711182,17.2889995574951,17.3120002746582,17.25,17.0919990539551,16.9099998474121,17.3229999542236,17.761999130249,18.3479995727539,19.55299949646,20.3899993896484,20.3959999084473,20.423999786377,20.4599990844727,20.3430004119873,20.2600002288818,20.159000396728498,19.982000350952102,19.806999206543
GBR_Exports of goods and services (current US$),United Kingdom,GBR,Exports of goods and services (current US$),417751550915.4193,410657837915.6456,430262290167.86597,489781224489.7955,573119736360.3085,633999999999.9996,735455381784.7292,782655062024.811,788810661764.7032,635831126343.6692,699877094513.8129,816408686663.5696,810792893788.9287,834486317714.811,873246879086.7644,809797053163.2528,766233584604.1653,809630497408.0702,875792531491.7388
GBR_GDP (current US$),United Kingdom,GBR,GDP (current US$),1657816613708.58,1640246149417.01,1784473920863.31,2053018775510.2,2416931526913.22,2538680000000.0,2713749770009.2,3100882352941.18,2922667279411.76,2410909799034.12,2475244321361.11,2659310054646.23,2704887678386.72,2786022872706.81,3063803240208.01,2928591002002.51,2694283209613.29,2666229179958.01,2860667727551.97
GBR_GDP per capita (current US$),United Kingdom,GBR,GDP per capita (current US$),28149.8700107891,27744.5064592461,30056.586217930097,34419.1479145952,40290.3139710116,42030.2866138136,44599.697568569696,50566.8265956828,47286.9984928367,38713.1374283353,39435.8399018505,42038.572250193,42462.771568145,43444.533001954,47425.6076805194,44974.8318771782,41064.1334316223,40361.4173832159,43043.227816455095
GBR_Gross capital formation (% of GDP),United Kingdom,GBR,Gross capital formation (% of GDP),18.4518610396924,18.372607130100697,18.3863443756557,17.8659757577493,17.6372291171765,17.834321916758498,18.1958651400785,18.546657968888,17.4696889361865,14.946402828188601,16.0884984147218,15.6561938179908,15.8390278458303,16.3005742073016,17.110158950441598,17.4133599318899,17.4007343600208,17.5246311303892,17.1968620121028
"GBR_Unemployment, total (% of total labor force) (modeled ILO estimate)",United Kingdom,GBR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.5619997978210405,4.69500017166138,5.03700017929077,4.80700016021729,4.5939998626709,4.75,5.34999990463257,5.26200008392334,5.6149997711181605,7.537000179290769,7.787000179290769,8.036999702453612,7.8850002288818395,7.525000095367429,6.110000133514401,5.30100011825562,4.8130002021789595,4.33500003814697,3.99600005149841
GEO_Exports of goods and services (current US$),Georgia,GEO,Exports of goods and services (current US$),703050128.4636965,787530921.3699963,992546704.9232593,1255487719.6252978,1595471619.365609,2132178518.2324688,2514996629.970793,3135109248.727918,3616313388.7845335,3181083507.9317546,4034786511.8105855,5240438778.5354395,6020953188.397028,7171816760.85126,7039247890.355105,6110518662.142506,6177800312.67167,7557441721.458478,8898149244.307646
GEO_GDP (current US$),Georgia,GEO,GDP (current US$),3057475288.78105,3219488663.7723103,3395728013.8452396,3991284895.37214,5125365191.98664,6410823633.25426,7745394293.41721,10172882370.5477,12795076469.0099,10766836276.5639,12243505582.6741,15107441446.7833,16488403076.3641,17189551520.9811,17627003454.7205,14953950557.4406,15141758566.7808,16242916915.7203,17599700090.762
GEO_GDP per capita (current US$),Georgia,GEO,GDP per capita (current US$),749.908523611591,801.9904138883729,853.516453713318,1010.0079801313001,1305.0474855720802,1642.76093756395,1996.0571292766397,2635.3538820296303,3324.7358790541102,2822.66743023352,3233.29594347421,4021.7433061728602,4421.818242280129,4623.74572473419,4739.188338464211,4014.1859441932897,4062.1698875737898,4357.00093554628,4722.78778321766
GEO_Gross capital formation (% of GDP),Georgia,GEO,Gross capital formation (% of GDP),26.581315880922,30.327746478873202,28.501182939914198,29.0958769748135,30.987449487495304,33.3296044196233,29.7348059086723,33.454554013816804,27.689791296415702,13.9858779050373,20.524159548337398,22.2032521282483,25.875867236193105,20.991078267134398,25.4061174656214,26.2943863268012,30.1520817055475,27.290145627256997,28.1230240765571
"GEO_Unemployment, total (% of total labor force) (modeled ILO estimate)",Georgia,GEO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",10.8199996948242,11.1599998474121,12.5900001525879,11.5100002288818,12.619999885559098,13.8100004196167,13.5699996948242,13.279999732971199,17.8700008392334,20.7099990844727,20.2029991149902,19.631999969482397,19.652999877929698,19.4160003662109,17.4379997253418,16.506000518798803,16.6040000915527,13.9390001296997,13.7849998474121
GHA_Exports of goods and services (current US$),Ghana,GHA,Exports of goods and services (current US$),2431828408.8823633,2404094094.653078,2627858783.442709,3104789916.93586,3490673151.75097,3916349977.9054527,5149494044.366733,6089051469.011374,7178123443.884819,7629976939.501781,9490699300.699291,14529869985.53201,16656634664.913176,16118921318.259825,15465492197.749075,15520745571.528564,17537473272.29016,20801563774.278835,23118048350.162495
GHA_GDP (current US$),Ghana,GHA,GDP (current US$),4983024408.14828,5314909953.92992,6166330136.2948,7632406552.83803,8881368538.07671,10744675209.8984,20440893017.1566,24827844949.6033,28678701891.0957,26048108185.0534,32197272797.2028,39337314809.9434,41270954737.2459,62405374785.5052,53660342159.7735,48564863888.4402,55009730600.0307,58998132329.6173,65556464048.1539
GHA_GDP per capita (current US$),Ghana,GHA,GDP per capita (current US$),258.47095948786,269.014998380817,304.564560762479,367.82152164834,417.508164861765,492.544191644234,913.393930939291,1081.16631826269,1217.06479703935,1077.6621920808,1299.3449494603901,1549.4629019294598,1587.5612371999698,2345.39290574885,1971.0333467541102,1743.8509964087,1931.38947036943,2025.9324238675101,2202.31216442504
GHA_Gross capital formation (% of GDP),Ghana,GHA,Gross capital formation (% of GDP),23.998600497191802,26.599421602439698,19.7,22.9369279766376,28.3775066840527,29.0021406363098,22.954123686616203,15.3845449877747,16.491963940803302,16.4317931081367,13.1001937072805,12.809992966317699,16.967722122965,26.492312379084503,29.4592935999052,30.0492661592462,27.852378194779998,22.322241842109104,24.550732909054
"GHA_Unemployment, total (% of total labor force) (modeled ILO estimate)",Ghana,GHA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",10.3599996566772,9.2810001373291,8.34099960327148,7.38299989700317,6.4229998588562,5.520999908447269,4.63500022888184,4.66699981689453,4.763999938964839,5.125,5.32000017166138,5.61899995803833,5.9369997978210405,6.269000053405759,6.52699995040894,6.8060002326965305,5.449999809265139,4.22300004959106,4.15700006484985
GIN_Exports of goods and services (current US$),Guinea,GIN,Exports of goods and services (current US$),734578521.298095,808614959.829707,781148010.0805542,894584026.2078575,895267017.443893,1021679595.8810928,1005390515.5231873,1479451797.5335343,1507080731.8440092,1512364199.58313,2079424662.1287127,2212106788.6688976,2531048966.4290376,2217341673.4293556,2342843821.094103,1890478301.1438622,2524762066.007429,4611027662.1547165,4101524584.5855775
