Pays_indic,Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ARM_GDP (current US$),Armenia,ARM,GDP (current US$),1911563665.3900602,2118467913.37873,2376335048.3997602,2807061008.69084,3576615240.41616,4900469950.09033,6384451606.1421,9206301700.39619,11662040713.8753,8647936747.987041,9260284937.79781,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7542,10553337672.9872,10546135160.031,11527458565.7334,12457941907.0333
ARM_GDP per capita (current US$),Armenia,ARM,GDP per capita (current US$),622.742139063498,694.42322774468,783.2406986470419,930.127321851799,1191.91901957402,1643.7530293610998,2158.1436971017897,3139.27749894333,4010.8572425522602,2994.3425444850895,3218.37270660563,3525.8047467115293,3681.8574560431,3838.1858014838203,3986.2316237671293,3607.29669672271,3591.8292755302296,3914.5012684128,4220.4902767124895
ARM_Gross capital formation (% of GDP),Armenia,ARM,Gross capital formation (% of GDP),21.92233140183,22.904355286200104,25.418296761686896,28.347949983094697,29.122557700026398,35.765438994108,42.2254576837845,44.351622975563295,47.942835821347295,41.1450508029059,38.8147549853077,31.921798979847697,24.6809527475996,22.152490072631302,21.2830406859193,20.7305301265762,18.015508673417102,18.421740214872802,22.3997393267701
"ARM_Unemployment, total (% of total labor force) (modeled ILO estimate)",Armenia,ARM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",11.0539999008179,10.9329996109009,10.8920001983643,10.7829999923706,10.597999572753901,10.392999649047901,10.0900001525879,9.8120002746582,13.4750003814697,18.436000823974602,19.007999420165998,18.443000793457,17.3010005950928,16.179000854492198,17.497999191284197,18.260999679565398,17.617000579834002,17.7049999237061,17.496000289917
AUS_Exports of goods and services (current US$),Australia,AUS,Exports of goods and services (current US$),80697104816.93141,84096812278.63052,81986709920.46886,89076295864.88065,105368473467.06503,126651631333.63402,148419436957.17313,172356912930.8312,212503133393.0169,213439846856.13293,227050118911.30173,299391698708.4689,332126211590.0183,314546014158.20154,308750573762.968,270133954571.92703,232715824719.75543,281864393996.53125,312681962638.5546
AUS_GDP (current US$),Australia,AUS,GDP (current US$),415222633925.76794,378376086723.194,394648911678.52704,466488060570.76294,612490396927.0171,693407758231.845,746054207846.6609,853099630996.31,1053995523724.26,927805183330.879,1146138465603.81,1396649906339.35,1546151783872.96,1576184467015.49,1467483705131.74,1351693984524.5,1208846993739.99,1329188475752.32,1432881172002.17
AUS_GDP per capita (current US$),Australia,AUS,GDP per capita (current US$),21679.2478424147,19490.8611097303,20082.4832672749,23447.0310006717,30430.6764374443,33999.2428575835,36044.922810848504,40960.0544948199,49601.6567082178,42772.3591664498,52022.125596187594,62517.833747150304,68012.1479005934,68150.1070413215,62510.7911705641,56755.7217124249,49971.131456129006,54027.9668184568,57354.9640455891
AUS_Gross capital formation (% of GDP),Australia,AUS,Gross capital formation (% of GDP),26.3080439047188,23.479787707817398,24.493107750317197,26.0162804634439,27.171939946971,27.5588673104423,27.604447878927804,27.571408982019896,28.664594716952895,27.396053628749105,26.8511409755989,26.5072122273973,27.7425576441621,27.8957916614323,26.7456350522042,26.2706966202778,25.37197855862,24.0567962137371,24.528660146276003
"AUS_Unemployment, total (% of total labor force) (modeled ILO estimate)",Australia,AUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.28299999237061,6.74200010299683,6.368000030517581,5.92899990081787,5.39499998092651,5.032000064849849,4.782000064849849,4.3769998550414995,4.23400020599365,5.56099987030029,5.21099996566772,5.080999851226809,5.223999977111821,5.662000179290769,6.0770001411438,6.05399990081787,5.71000003814697,5.59100008010864,5.2979998588562
AUT_Exports of goods and services (current US$),Austria,AUT,Exports of goods and services (current US$),85305371291.68968,88047337807.60623,96701496329.75699,116638893905.19182,141025428358.57953,153625979355.80136,170827273867.77066,204299603065.97308,229126805331.7708,180907557654.90417,200892688044.9391,232583677064.3846,220981850149.8472,229834282276.73465,235966614250.84454,202703358781.35953,207303260908.56384,225532509835.27106,253446654971.68613
AUT_GDP (current US$),Austria,AUT,GDP (current US$),196799778883.36102,197337879194.631,213377771503.858,261695778781.038,300904221504.842,315974418604.651,335998557270.104,388691445387.35297,430294287388.31104,400172297860.517,391892746544.69,431120310088.82,409425234155.26294,430068712971.867,441996131736.508,381817565893.574,395568644341.03796,417237869115.93,455094861902.062
AUT_GDP per capita (current US$),Austria,AUT,GDP per capita (current US$),24564.4582948404,24537.5142629883,26401.7454564357,32222.897241165498,36821.521468009305,38403.1338770715,40635.281815972405,46855.7717452095,51708.7657541758,47963.1794023217,46858.0432733717,51374.9584066934,48567.69528642,50716.708706286394,51717.495940551504,44178.047377743205,45276.8314351693,47426.51195977731,51478.2852619277
AUT_Gross capital formation (% of GDP),Austria,AUT,Gross capital formation (% of GDP),25.926970942079997,25.160766294699897,23.642656839991602,24.4087464611563,24.061026887504802,23.825245637086,23.6103275858496,24.5843049022429,24.467460740570502,22.7753209387926,22.607847118507298,24.140474472755898,23.9771068871648,23.7233900013028,23.5315427854214,23.805525692784098,24.2563259569593,24.835735926173,25.5433717122365
"AUT_Unemployment, total (% of total labor force) (modeled ILO estimate)",Austria,AUT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.6869997978210405,4.00699996948242,4.848999977111821,4.77899980545044,5.83400011062622,5.627999782562259,5.24300003051758,4.85799980163574,4.12799978256226,5.30100011825562,4.82000017166138,4.56400012969971,4.86499977111816,5.33500003814697,5.619999885559079,5.72300004959106,6.01399993896484,5.499000072479251,4.84800004959106
AZE_Exports of goods and services (current US$),Azerbaijan,AZE,Exports of goods and services (current US$),2118054168.3441224,2368624503.382367,2666940958.650485,3056403991.040523,4235066653.098607,8337000211.550663,13954555630.176874,22516839529.192394,32133276533.593018,22870241353.570522,28728665753.08333,37214511839.93922,36914842158.85948,35907329509.24152,32560882315.44053,20059340230.33377,17580998934.636868,19839356263.072254,25484470588.235283
