Pays_indic,Country Name,Country Code,Indicator Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Simple Indicator
"AUT_Exports of goods and services, PPP (constant 2017 international $)",Austria,AUT,"Exports of goods and services, PPP (constant 2017 international $)",108239605708.45018,113148614569.8608,124889976806.40555,133984690344.5174,142389283670.12634,162115756854.73355,168984898463.40726,174477794774.57272,173209795317.16376,187117261871.37,198470314124.93866,214708914564.5329,230242968159.3661,236663250913.1512,193359337805.58582,223284389769.06415,241854285760.42578,243612835401.12274,241271418955.27945,242618229435.96402,243713789212.0442,245366083918.53888,259151602476.7319,273890079294.3545,exports
"AUT_Exports of goods and services, PPP (constant 2017 international $) per capita",Austria,AUT,"_Exports of goods and services, PPP (constant 2017 international $) per capita",13617.994452188283,14216.405690534497,15673.862221141375,16796.82016717722,17815.75467537682,20235.214545412662,21012.02958701048,21588.557669209662,21327.51801219611,22897.45966532044,24121.83263956247,25966.650936294478,27755.20812212304,28439.988544505846,23175.338867449555,26697.788337029295,28820.85019112774,28898.35059149206,28452.412150027125,28388.500249224817,28198.805629126295,28084.629508473812,29457.193327874083,30981.214715100443,exports_hab
"AUT_Exports of goods and services, PPP (constant 2017 international $) per labor unit",Austria,AUT,"_Exports of goods and services, PPP (constant 2017 international $) per labor unit",28026.601989587907,29509.85001297792,32659.965424836053,34719.45170802098,36622.466145492755,41578.28148728922,43475.236958233356,43916.720977942874,43386.21676731443,48086.919013106395,49405.07495259482,52697.231403038764,55311.28729676922,56221.78696477105,45424.22386250194,52211.23851683156,56176.751612901724,55970.05057053193,54907.54025936348,54982.394816896776,54634.14326697372,54080.616806704034,56747.57753539709,59525.624937240354,exports_labor_unit
"AUT_GDP per capita, PPP (constant 2017 international $)",Austria,AUT,"GDP per capita, PPP (constant 2017 international $)",40610.5551459346,41508.6311487925,42329.6618726799,43797.5825611302,45267.01101668,46682.708109642,47093.636894916795,47636.47410098,47851.2891266354,48856.02798888861,49613.2364846442,51073.5613476145,52805.8390721936,53409.571989493495,51264.4619633558,52080.88805963269,53422.7252241042,53541.56438458389,53240.5007342368,53175.349978194405,53116.038092059105,53590.0823402261,54496.1636938075,55630.608476177695,gdb_hab
"AUT_GDP, PPP (constant 2017 international $)",Austria,AUT,"GDP, PPP (constant 2017 international $)",322783982034.219,330367900959.969,337284481317.65,349364074800.215,361788618556.87604,374001597079.132,378740826344.531,384995935315.734,388620560092.706,399249799620.24603,408209225932.214,422308943374.901,438050151547.474,444447539672.28204,427715964581.492,435573507521.485,448304438167.77795,451354905887.96295,451470022657.698,454455471338.242,459065929302.201,468198757499.21796,479433596843.075,491803562476.427,gdp
AUT_Gross capital formation (% of GDP),Austria,AUT,Gross capital formation (% of GDP),26.763232286056,26.3376729639958,26.2136574642218,26.1056608005608,26.117551394752002,25.926970942079997,25.160766294699897,23.642656839991602,24.4087464611563,24.061026887504802,23.825245637086,23.6103275858496,24.5843049022429,24.467460740570502,22.7753209387926,22.607847118507298,24.140474472755898,23.9771068871648,23.7233900013028,23.5315427854214,23.805525692784098,24.2563259569593,24.835735926173,25.5433717122365,FBCF
"AUT_Labor force, total",Austria,AUT,"Labor force, total",3862031.0,3834266.0,3823947.0,3859067.0,3888031.0,3899049.0,3886923.0,3972924.0,3992277.0,3891230.0,4017205.0,4074387.0,4162676.0,4209458.0,4256745.0,4276558.0,4305238.0,4352557.0,4394140.0,4412653.0,4460833.0,4537043.0,4566743.0,4601213.0,labor_force
"AUT_Population, total",Austria,AUT,"Population, total",7948278.0,7959017.0,7968041.0,7976789.0,7992324.0,8011566.0,8042293.0,8081957.0,8121423.0,8171966.0,8227829.0,8268641.0,8295487.0,8321496.0,8343323.0,8363404.0,8391643.0,8429991.0,8479823.0,8546356.0,8642699.0,8736668.0,8797566.0,8840521.0,pop
"AUT_Unemployment, total (% of total labor force) (modeled ILO estimate)",Austria,AUT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.34700012207031,5.2810001373291,5.14900016784668,5.5229997634887695,4.69799995422363,4.6869997978210405,4.00699996948242,4.848999977111821,4.77899980545044,5.83400011062622,5.627999782562259,5.24300003051758,4.85799980163574,4.12799978256226,5.30100011825562,4.82000017166138,4.56400012969971,4.86499977111816,5.33500003814697,5.619999885559079,5.72300004959106,6.01399993896484,5.499000072479251,4.84800004959106,unemployment rate
AZE_Exports of goods and services (% of GDP),Azerbaijan,AZE,Exports of goods and services (% of GDP),32.4866435467242,24.928639391056105,29.034607225406102,22.6995291518921,27.9701199968213,40.1708314787732,41.4986078711716,42.7678350515464,42.0065766459106,48.7890084640454,62.9411060091835,66.5041448400209,68.1289116905555,65.7761378471842,51.6357456848728,54.3047215353821,56.4269805307016,52.9746801915106,48.415833075521604,43.2735566584935,37.79477749172489,46.4276493913136,48.547864732761,54.092293862058604,exports_rate
"AZE_Exports of goods and services, PPP (constant 2017 international $)",Azerbaijan,AZE,"Exports of goods and services, PPP (constant 2017 international $)",7552944326.205143,5871099742.819182,7234732973.451834,6221800617.178201,8233753291.473518,13137974015.666775,14915877170.286482,16823033931.13313,18210364873.90073,23107869510.012276,38146239929.42918,54197498428.06947,69659185940.9852,74376684587.5425,63857724237.21456,70374816772.7097,71974847960.95587,69059856764.20332,66804941127.92294,61379971409.07829,54171423939.2809,64506287615.67023,67555717946.0843,76400313446.94174,exports
"AZE_Exports of goods and services, PPP (constant 2017 international $) per capita",Azerbaijan,AZE,"_Exports of goods and services, PPP (constant 2017 international $) per capita",982.8164380227903,756.2926372303468,923.003600733816,786.2758267633262,1031.4432108576016,1632.3303451117927,1838.923608132765,2058.6315299448884,2211.5792708250724,2781.9020658535214,4545.6293820110195,6387.787027958993,8117.556307434212,8487.194991389471,7137.139813595602,7772.502352764368,7846.310319798283,7429.158935298337,7094.228828656668,6437.2797969558815,5614.002442164797,6610.7327765353775,6855.64153743795,7686.325313424398,exports_hab
"AZE_Exports of goods and services, PPP (constant 2017 international $) per labor unit",Azerbaijan,AZE,"_Exports of goods and services, PPP (constant 2017 international $) per labor unit",2318.067873639707,1775.9244701413766,2160.362110195325,1835.3751480642989,2393.864873551803,3755.3216499285477,4180.831467122485,4624.624607344275,4906.605239831656,6089.782771576322,9810.145314899202,13621.548381114704,17085.9684788859,17631.006872450525,14651.109285709925,15798.202888897702,15842.868341349076,14924.126191075311,14205.67771018073,12811.325778532251,11110.247788577542,12979.847906236728,13420.256245817684,15006.783165236133,exports_labor_unit
"AZE_GDP per capita, PPP (constant 2017 international $)",Azerbaijan,AZE,"GDP per capita, PPP (constant 2017 international $)",3025.2938768797303,3033.830388279,3178.97739607155,3463.84200968233,3687.6610145928003,4063.47164104466,4431.289873244729,4813.50418477741,5264.84052596649,5701.90326352629,7222.036075037809,9605.09610840819,11914.994832597,12903.1519167445,13822.0911094279,14312.7561158751,13905.2457636452,14023.9807176578,14652.7042457179,14875.7816413327,14853.910552572901,14238.784136618799,14121.4069355591,14209.6494059309,gdb_hab
"AZE_GDP, PPP (constant 2017 international $)",Azerbaijan,AZE,"GDP, PPP (constant 2017 international $)",23249383443.8207,23551625304.2098,24917619574.7578,27409381822.6163,29437675964.2406,32705257850.1121,35943078419.8626,39335715522.7918,43351223374.8606,47362859458.4811,60606243436.306,81494918186.5947,102246145156.964,113075481507.199,123669607924.191,129592445708.164,127553959620.07,130363895571.512,137981599993.781,141841753136.857,143330448105.275,138939378713.709,139152809949.428,141240661085.239,gdp
