Pays_indic,Country Name,Country Code,Indicator Name,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Simple Indicator
DEU_Exports of goods and services (% of GDP),Germany,DEU,Exports of goods and services (% of GDP),38.0595723481521,41.43290791084579,43.3227580964574,43.79919025796289,38.119906939850296,42.565473405085,45.0571362806101,46.3071201430804,45.4186778593914,45.6192633128717,46.920738356608,46.0732628543356,47.2041744123981,47.372549837475205,exports_rate
"DEU_Exports of goods and services, PPP (constant 2017 international $)",Germany,DEU,"Exports of goods and services, PPP (constant 2017 international $)",1385277211931.0857,1565612719408.3071,1685749197259.6257,1720646943327.0771,1412269551488.8,1642884738411.343,1807315825382.608,1865228136875.81,1837447596086.1208,1886340938661.9297,1969102292996.019,1976654520724.7627,2077867889521.7366,2111720807614.0645,exports
"DEU_Exports of goods and services, PPP (constant 2017 international $) per capita",Germany,DEU,"_Exports of goods and services, PPP (constant 2017 international $) per capita",16797.46478556726,19005.58594601638,20491.352131823995,20955.363666505924,17243.342748438088,20089.831428146583,22514.060518488157,23191.906122935292,22784.22483266287,23293.192216366864,24105.569675255825,24003.47868069079,25138.4376307495,25471.333321650163,exports_hab
"DEU_Exports of goods and services, PPP (constant 2017 international $) per labor unit",Germany,DEU,"_Exports of goods and services, PPP (constant 2017 international $) per labor unit",33576.86462721494,37631.313599270994,40249.634458402994,41079.07148186731,33667.93199652972,39108.936847903315,43382.90943849804,44691.1713859438,43643.7350698213,44574.355305407094,46230.73759848042,45909.906667561394,47999.89950154171,48478.2866411569,exports_labor_unit
"DEU_Foreign direct investment, net inflows (% of GDP)",Germany,DEU,"Foreign direct investment, net inflows (% of GDP)",2.1025770249554,2.92240676746508,1.48622562106473,0.829879478203399,1.6687876302379798,2.53323122929551,2.60482800628751,1.85530728263463,1.8002762693752,0.5017691285146451,1.85989513317903,1.86612350328953,3.21038153715994,4.2372799889664705,IDE
"DEU_GDP per capita, PPP (constant 2017 international $)",Germany,DEU,"GDP per capita, PPP (constant 2017 international $)",44134.665076925994,45870.7508218155,47299.2787906078,47844.1805501099,45234.4828009326,47197.4814821315,49967.8017224029,50082.808110883605,50164.879090490096,51059.992040236604,51375.0859844706,52098.4996365023,53254.6918650206,53768.1281861261,gdb_hab
"DEU_GDP, PPP (constant 2017 international $)",Germany,DEU,"GDP, PPP (constant 2017 international $)",3639760319057.67,3778669657406.5,3891140064319.85,3928490305855.04,3704808497348.2,3859665139340.56,4011164433813.27,4027951060468.89,4045577024004.42,4134965805398.46,4196656663905.0,4290242101962.95,4401873171996.39,4457688713947.03,gdp
DEU_Gross capital formation (% of GDP),Germany,DEU,Gross capital formation (% of GDP),19.4851222080924,20.5707146091536,21.3799283871097,21.446186711905398,18.5564637143102,20.0657853688972,21.6352336684536,19.7159883583275,20.0537464207587,20.370290664507802,19.742943248584,19.967429515685502,20.8463553649543,21.5794554300577,FBCF
"DEU_Labor force, total",Germany,DEU,"Labor force, total",41256896.0,41603988.0,41882348.0,41886218.0,41947024.0,42007911.0,41659627.0,41735942.0,42101062.0,42318973.0,42592924.0,43055076.0,43289005.0,43560137.0,labor_force
DEU_Labor tax and contributions (% of commercial profits),Germany,DEU,Labor tax and contributions (% of commercial profits),22.3,21.7,21.7,22.1,22.0,22.0,21.8,21.9,21.6,21.2,21.2,21.3,21.4,21.5,labor_tax_contrib
DEU_Other taxes payable by businesses (% of commercial profits),Germany,DEU,Other taxes payable by businesses (% of commercial profits),4.0,4.0,4.0,4.4,4.4,1.8,4.6,4.6,4.3,4.3,4.3,4.3,4.3,4.3,other_taxes_entreprise
"DEU_Population, total",Germany,DEU,"Population, total",82469422.0,82376451.0,82266372.0,82110097.0,81902307.0,81776930.0,80274983.0,80425823.0,80645605.0,80982500.0,81686611.0,82348669.0,82657002.0,82905782.0,pop
DEU_Profit tax (% of commercial profits),Germany,DEU,Profit tax (% of commercial profits),21.4,21.6,23.2,22.9,17.6,23.2,19.2,19.3,23.2,23.3,23.2,23.2,23.2,23.2,profit_tax
DEU_Research and development expenditure (% of GDP),Germany,DEU,Research and development expenditure (% of GDP),2.42861,2.46388,2.44709,2.59957,2.72644,2.71367,2.79562,2.86813,2.82105,2.86691,2.91197,2.91712,3.03763,3.09415,RetD
DEU_Total tax and contribution rate (% of profit),Germany,DEU,Total tax and contribution rate (% of profit),47.7,47.4,49.0,49.4,43.9,47.0,45.6,45.9,49.1,48.8,48.8,48.9,48.9,49.0,total_tax_contrib
"DEU_Unemployment, total (% of total labor force) (modeled ILO estimate)",Germany,DEU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",11.166999816894501,10.25,8.65799999237061,7.52400016784668,7.74200010299683,6.96600008010864,5.82399988174438,5.37900018692017,5.23099994659424,4.98099994659424,4.62400007247925,4.12200021743774,3.74600005149841,3.3840000629425,unemployment rate
DNK_Exports of goods and services (% of GDP),Denmark,DNK,Exports of goods and services (% of GDP),47.452125515225,50.7300470194145,51.48253505123779,54.17579741403971,47.126073460453796,50.52292763958779,53.8201489280677,54.6304940173438,54.82881898671129,54.6131394364014,55.41817440201199,53.4259805224841,55.077376782907706,56.293908005812796,exports_rate
"DNK_Exports of goods and services, PPP (constant 2017 international $)",Denmark,DNK,"Exports of goods and services, PPP (constant 2017 international $)",132779431427.74698,147506213768.4967,151055278259.63242,158143709304.6383,130815281123.97462,142868427008.0649,154226761967.96457,156903465883.31158,158942832914.17416,160881386593.9643,167077235722.64087,166299376834.30084,176277264072.00772,184090698988.1786,exports
"DNK_Exports of goods and services, PPP (constant 2017 international $) per capita",Denmark,DNK,"_Exports of goods and services, PPP (constant 2017 international $) per capita",24500.617671325515,27128.71707880288,27658.517456324218,28786.789133185255,23685.140509800145,25752.81013858667,27685.983049490173,28060.70741525131,28307.169688639893,28507.504081078467,29396.979936887445,29032.66175064304,30577.255094034623,31774.640137588656,exports_hab
"DNK_Exports of goods and services, PPP (constant 2017 international $) per labor unit",Denmark,DNK,"_Exports of goods and services, PPP (constant 2017 international $) per labor unit",45772.799860091065,50322.447119646284,51541.6499506379,53375.915148879096,44305.3996228976,48761.986532050054,52668.217742204295,53884.81195622671,54909.702515276316,55342.39253130588,56996.997176930665,54981.12577642562,59024.462005177855,61063.21672074907,exports_labor_unit
"DNK_Foreign direct investment, net inflows (% of GDP)",Denmark,DNK,"Foreign direct investment, net inflows (% of GDP)",4.857700582033,0.84318706518409,3.6971141162747205,0.620106753447922,1.17390242059711,-3.65466908301772,3.94150318758658,-4.997670325554281,0.19801218055208103,1.8633052830187602,0.611475183333102,2.49237426030716,1.08613294747868,2.28149606624821,IDE
"DNK_GDP per capita, PPP (constant 2017 international $)",Denmark,DNK,"GDP per capita, PPP (constant 2017 international $)",51632.2870794575,53476.625141744196,53724.07832830519,53135.8844858002,50259.1002615054,50972.5214704457,51441.6693392904,51364.5500008525,51628.2681476335,52198.9843017105,53045.7386120973,54341.8416783661,55516.90527048441,56444.189545887806,gdb_hab
"DNK_GDP, PPP (constant 2017 international $)",Denmark,DNK,"GDP, PPP (constant 2017 international $)",279817668831.599,290766956537.70197,293410722897.183,291908410864.766,277585785358.819,282779390828.727,286559522854.709,287208579577.367,289889214926.728,294583662932.096,301484553624.29803,311270612552.098,320053848546.237,327017088543.87897,gdp
DNK_Gross capital formation (% of GDP),Denmark,DNK,Gross capital formation (% of GDP),22.2064300301308,24.298289129060997,25.277838115392605,23.984089332933603,19.0883495439885,18.0760448037865,19.1269577357672,19.4663908827203,19.690805523677103,20.0910203243138,20.631205958341,21.775395744282104,22.0530624160467,23.146426201978603,FBCF
"DNK_Labor force, total",Denmark,DNK,"Labor force, total",2900837.0,2931221.0,2930742.0,2962829.0,2952581.0,2929914.0,2928270.0,2911831.0,2894622.0,2907019.0,2931334.0,3024663.0,2986512.0,3014756.0,labor_force
DNK_Labor tax and contributions (% of commercial profits),Denmark,DNK,Labor tax and contributions (% of commercial profits),1.4,1.8,2.5,2.5,3.6,3.6,3.6,3.6,3.0,3.0,3.0,3.2,3.9,4.0,labor_tax_contrib
DNK_Other taxes payable by businesses (% of commercial profits),Denmark,DNK,Other taxes payable by businesses (% of commercial profits),3.3,3.0,3.0,3.0,2.3,2.3,2.3,3.1,3.0,2.8,2.8,2.8,2.8,2.8,other_taxes_entreprise
"DNK_Population, total",Denmark,DNK,"Population, total",5419432.0,5437272.0,5461438.0,5493621.0,5523095.0,5547683.0,5570572.0,5591572.0,5614932.0,5643475.0,5683483.0,5728010.0,5764980.0,5793636.0,pop
DNK_Profit tax (% of commercial profits),Denmark,DNK,Profit tax (% of commercial profits),27.9,26.0,25.8,23.1,21.7,21.6,19.8,19.7,19.6,19.6,18.1,18.4,17.1,17.1,profit_tax
DNK_Research and development expenditure (% of GDP),Denmark,DNK,Research and development expenditure (% of GDP),2.39337,2.403,2.5154099999999997,2.77346,3.05514,2.9170700000000003,2.94465,2.98125,2.97048,2.9140900000000003,3.05497,3.1040099999999997,3.0460000000000003,3.06408,RetD
DNK_Total tax and contribution rate (% of profit),Denmark,DNK,Total tax and contribution rate (% of profit),32.6,30.8,31.3,28.5,27.6,27.5,25.7,26.3,25.6,25.4,23.9,24.4,23.8,23.8,total_tax_contrib
"DNK_Unemployment, total (% of total labor force) (modeled ILO estimate)",Denmark,DNK,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.82999992370605,3.8970000743866002,3.80100011825562,3.4340000152587904,6.006999969482419,7.46400022506714,7.57299995422363,7.52600002288818,6.997000217437741,6.58900022506714,6.1680002212524405,6.1810002326965305,5.743000030517581,4.97499990463257,unemployment rate
EGY_Exports of goods and services (% of GDP),"Egypt, Arab Rep.",EGY,Exports of goods and services (% of GDP),30.3435468895079,29.949813825481602,30.249731471536002,33.0429927414852,24.956822107081198,21.349245814685897,20.5674276128656,16.3969666208873,17.0178456245969,14.244131455399101,13.183845492859799,10.3454639403558,15.818443804034601,18.911975481137603,exports_rate
"EGY_Exports of goods and services, PPP (constant 2017 international $)","Egypt, Arab Rep.",EGY,"Exports of goods and services, PPP (constant 2017 international $)",192430860157.4128,202932677087.21332,219492400936.7167,256918266559.80347,203115025495.77628,182697734568.8007,179113042931.02707,145973144542.72632,154811479387.78568,133357387985.6436,128827119769.76675,105485714135.88902,168033887550.55618,211571235764.26743,exports
"EGY_Exports of goods and services, PPP (constant 2017 international $) per capita","Egypt, Arab Rep.",EGY,"_Exports of goods and services, PPP (constant 2017 international $) per capita",2547.957713140024,2639.820572713093,2805.655581144717,3226.154147541637,2503.426772514751,2207.527891153397,2118.9474996054864,1689.0692088370577,1751.169162475925,1474.790138380221,1393.591197457668,1116.8764886209392,1742.32029981355,2149.598739654525,exports_hab
"EGY_Exports of goods and services, PPP (constant 2017 international $) per labor unit","Egypt, Arab Rep.",EGY,"_Exports of goods and services, PPP (constant 2017 international $) per labor unit",8262.135444291538,8425.50148000529,8707.2966076355,10002.427296976588,7640.563670726835,6664.498929209329,6437.436214128223,5106.548658365237,5263.372458725391,4449.031502190183,4360.852989111731,3528.933095711606,5671.2113907392195,7010.828821269327,exports_labor_unit
"EGY_Foreign direct investment, net inflows (% of GDP)","Egypt, Arab Rep.",EGY,"Foreign direct investment, net inflows (% of GDP)",5.999509006499539,9.34856726566294,8.87633606337272,5.8314126186488,3.5483511801957404,2.9160165755014105,-0.204542848807527,1.00234071774049,1.45343420769727,1.50925042253521,2.10258128401326,2.43856278142762,3.1428260518732,3.2602627890206004,IDE
"EGY_GDP per capita, PPP (constant 2017 international $)","Egypt, Arab Rep.",EGY,"GDP per capita, PPP (constant 2017 international $)",8397.03322231274,8814.14685278313,9274.97681685124,9763.504694570931,10031.03184281,10340.0743535159,10302.4429670535,10301.1078078639,10290.1930191731,10353.6684072177,10570.4454607908,10795.8086274334,11014.486136551299,11366.3363290551,gdb_hab
"EGY_GDP, PPP (constant 2017 international $)","Egypt, Arab Rep.",EGY,"GDP, PPP (constant 2017 international $)",634173917960.629,677575754793.361,725601154982.985,777527231173.721,813865742297.9541,855757323488.8,870857777172.805,890244811237.087,909700809390.511,936226883353.395,977158901320.088,1019632514733.42,1062265603571.56,1118715683484.7,gdp
EGY_Gross capital formation (% of GDP),"Egypt, Arab Rep.",EGY,Gross capital formation (% of GDP),17.975858867223803,18.7307754573418,20.8512352309345,22.3897264098269,19.1901746305891,19.501077407591602,17.1030559404857,16.0267510598913,14.211997419909698,13.643192488262901,14.2886370146078,15.0402303092936,15.2737752161383,16.6561499977464,FBCF
"EGY_Labor force, total","Egypt, Arab Rep.",EGY,"Labor force, total",23290693.0,24085531.0,25207870.0,25685592.0,26583775.0,27413574.0,27823661.0,28585480.0,29412982.0,29974476.0,29541725.0,29891673.0,29629276.0,30177778.0,labor_force
EGY_Labor tax and contributions (% of commercial profits),"Egypt, Arab Rep.",EGY,Labor tax and contributions (% of commercial profits),25.4,25.4,25.4,25.6,25.6,25.8,27.1,25.8,23.4,23.9,24.1,24.4,27.3,28.8,labor_tax_contrib
EGY_Other taxes payable by businesses (% of commercial profits),"Egypt, Arab Rep.",EGY,Other taxes payable by businesses (% of commercial profits),7.4,7.4,5.8,3.6,3.5,3.5,3.5,3.5,3.5,4.4,4.4,4.4,4.4,4.4,other_taxes_entreprise
"EGY_Population, total","Egypt, Arab Rep.",EGY,"Population, total",75523569.0,76873663.0,78232126.0,79636079.0,81134798.0,82761235.0,84529250.0,86422240.0,88404640.0,90424654.0,92442547.0,94447072.0,96442593.0,98423595.0,pop
EGY_Profit tax (% of commercial profits),"Egypt, Arab Rep.",EGY,Profit tax (% of commercial profits),21.6,13.6,13.9,14.8,13.8,13.2,13.0,13.2,13.2,16.4,16.4,14.7,14.0,13.7,profit_tax
EGY_Research and development expenditure (% of GDP),"Egypt, Arab Rep.",EGY,Research and development expenditure (% of GDP),0.24140999999999999,0.25903000000000004,0.2551,0.27024000000000004,0.43312,0.43345,0.53154,0.5089899999999999,0.63895,0.63649,0.71858,0.70848,0.6794100000000001,0.72388,RetD
EGY_Total tax and contribution rate (% of profit),"Egypt, Arab Rep.",EGY,Total tax and contribution rate (% of profit),54.4,46.4,45.1,44.0,43.0,42.5,43.6,42.6,40.1,44.7,44.9,43.5,45.8,46.9,total_tax_contrib
"EGY_Unemployment, total (% of total labor force) (modeled ILO estimate)","Egypt, Arab Rep.",EGY,"Unemployment, total (% of total labor force) (modeled ILO estimate)",11.1999998092651,10.489999771118198,8.80000019073486,8.51700019836426,9.08699989318848,8.75699996948242,11.8489999771118,12.5970001220703,13.1540002822876,13.104999542236301,13.052000045776401,12.4069995880127,11.7370004653931,11.5920000076294,unemployment rate
EMU_Exports of goods and services (% of GDP),Euro area,EMU,Exports of goods and services (% of GDP),36.528412392221604,38.5026618128639,39.5527473049848,39.9128955666629,34.991657360637305,38.876940465531604,41.586070357880004,43.061015629718895,43.1120417299596,43.600958163739,44.4978276154766,43.901743979207495,45.4324491746135,45.9951309437569,exports_rate
"EMU_Exports of goods and services, PPP (constant 2017 international $)",Euro area,EMU,"Exports of goods and services, PPP (constant 2017 international $)",5046516862302.973,5493217233188.565,5814341330335.999,5891741079928.959,4929044440761.714,5591386918718.572,6078484907669.795,6234426943632.057,6224238106988.988,6382777301402.973,6648185370501.831,6685071628785.044,7097199699133.513,7321336330553.021,exports
"EMU_Exports of goods and services, PPP (constant 2017 international $) per capita",Euro area,EMU,"_Exports of goods and services, PPP (constant 2017 international $) per capita",15321.241342356345,16599.69459881642,17479.10970037998,17625.445896123194,14697.73186957404,16633.533594295364,18122.030222510835,18546.055127773947,18453.00656918502,18858.167578309443,19582.954122028656,19634.155339845904,20802.92200440574,21417.238292034202,exports_hab
"EMU_Exports of goods and services, PPP (constant 2017 international $) per labor unit",Euro area,EMU,"_Exports of goods and services, PPP (constant 2017 international $) per labor unit",32365.951086427824,34902.72340707513,36576.77517879419,36715.958885473105,30638.057311582223,34685.17616541678,37808.22578832303,38531.68549098853,38368.68312903965,39273.933109752514,40807.29263010541,40800.505698601075,43148.27184624395,44289.90905863991,exports_labor_unit
"EMU_Foreign direct investment, net inflows (% of GDP)",Euro area,EMU,"Foreign direct investment, net inflows (% of GDP)",6.01738163749812,7.3195247216886,9.96280551798014,4.660723576271749,3.40025265085625,4.2457135828798505,6.0062724716550004,4.47957203843576,4.51992991545908,2.8420306418700703,6.36425660359337,5.05398178277641,3.98276530814434,-0.268516112761416,IDE
"EMU_GDP per capita, PPP (constant 2017 international $)",Euro area,EMU,"GDP per capita, PPP (constant 2017 international $)",41943.3540605198,43113.1091130702,44191.8978866409,44159.7775503034,42003.5316363946,42785.0890402312,43577.1643402633,43069.2468734394,42802.4417975119,43251.7274218824,44008.7868811322,44722.950753721605,45788.68712195651,46564.1424485199,gdb_hab
"EMU_GDP, PPP (constant 2017 international $)",Euro area,EMU,"GDP, PPP (constant 2017 international $)",13815319450832.7,14267110310158.5,14700221164164.8,14761497496688.8,14086341752724.4,14382270960020.4,14616636905963.4,14478123315162.4,14437354059860.3,14639075768548.7,14940471764040.8,15227348671959.8,15621433200434.3,15917633411035.6,gdp
EMU_Gross capital formation (% of GDP),Euro area,EMU,Gross capital formation (% of GDP),22.4478353022572,23.3329084774927,24.0412706642063,23.5806982885635,20.400034646360897,20.991223188280898,21.541929690030305,19.961569876381603,19.5227811521447,19.840604955945498,20.188405995924303,20.404804383208102,21.025641257724303,21.5194439595191,FBCF
"EMU_Labor force, total",Euro area,EMU,"Labor force, total",155920549.0,157386493.0,158962656.0,160468125.0,160879797.0,161203936.0,160771493.0,161800006.0,162221833.0,162519432.0,162916600.0,163847764.0,164483985.0,165304840.0,labor_force
EMU_Labor tax and contributions (% of commercial profits),Euro area,EMU,Labor tax and contributions (% of commercial profits),32.6375,31.3823529411765,31.247058823529397,30.05,29.966666666666697,29.611111111111104,28.742105263157896,28.8157894736842,28.7789473684211,28.7947368421053,28.894736842105303,28.768421052631602,27.494736842105304,27.947368421052605,labor_tax_contrib
EMU_Other taxes payable by businesses (% of commercial profits),Euro area,EMU,Other taxes payable by businesses (% of commercial profits),2.425,1.9529411764705902,1.7,1.6333333333333302,1.7388888888888898,1.6,2.1,2.7789473684210497,1.7842105263157901,1.7947368421052599,1.8,1.68947368421053,1.7157894736842099,1.72105263157895,other_taxes_entreprise
"EMU_Population, total",Euro area,EMU,"Population, total",329380417.0,330922789.0,332645165.0,334274725.0,335360890.0,336151479.0,335419643.0,336159194.0,337302113.0,338462222.0,339488380.0,340481753.0,341163597.0,341843156.0,pop
EMU_Profit tax (% of commercial profits),Euro area,EMU,Profit tax (% of commercial profits),16.03125,14.5176470588235,14.447058823529401,13.272222222222199,12.566666666666698,13.0611111111111,12.410526315789498,12.2578947368421,13.326315789473698,13.784210526315801,12.9210526315789,13.0157894736842,13.278947368421099,12.9315789473684,profit_tax
EMU_Research and development expenditure (% of GDP),Euro area,EMU,Research and development expenditure (% of GDP),1.7774738066095301,1.80040290544436,1.80476593892693,1.8877676253781202,1.98384914996685,1.99152918989007,2.03933283630536,2.09495004705657,2.09935886545047,2.1345013167496596,2.13251950516671,2.12768007900153,2.19537296342889,2.21013766159138,RetD
EMU_Total tax and contribution rate (% of profit),Euro area,EMU,Total tax and contribution rate (% of profit),51.1125,47.858823529411794,47.4117647058824,44.9555555555555,44.27777777777779,44.272222222222204,43.2526315789474,43.8526315789474,43.9,44.3684210526316,43.6315789473684,43.4684210526316,42.4842105263158,42.578947368421,total_tax_contrib
"EMU_Unemployment, total (% of total labor force) (modeled ILO estimate)",Euro area,EMU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",9.020316719769038,8.31223227575882,7.43506611759678,7.48436960910309,9.53671795476115,10.0703083624,10.110723726273001,11.288656418894,11.928658750734,11.6048663898634,10.839746085102501,10.0274040476421,9.06011736628989,8.18786216591896,unemployment rate
ESP_Exports of goods and services (% of GDP),Spain,ESP,Exports of goods and services (% of GDP),24.9792690409411,25.2413025005404,25.984738814678,25.623929174316203,23.0616941747255,25.951679346402397,29.5349622049272,31.455272481109997,32.9625774735678,33.4825675913959,33.626518434655104,33.880090497737605,35.149462029647104,35.1471175620162,exports_rate
"ESP_Exports of goods and services, PPP (constant 2017 international $)",Spain,ESP,"Exports of goods and services, PPP (constant 2017 international $)",414445806530.7731,435975307101.4646,464994583076.25775,462605823875.63513,400679948140.4171,451626310590.1718,509798940861.31525,526877010624.7855,544199264263.87286,560434120804.9531,584429605703.2653,606686108075.8224,648133159393.2354,663838819757.1631,exports
"ESP_Exports of goods and services, PPP (constant 2017 international $) per capita",Spain,ESP,"_Exports of goods and services, PPP (constant 2017 international $) per capita",9494.063064417063,9819.856624708906,10281.394045832905,10066.691839802848,8642.245213244583,9696.358917816526,10906.493924843815,11264.541318175294,11673.074624099416,12057.30392131873,12583.307561609121,13051.486508985003,13910.456002524386,14185.270937514717,exports_hab
"ESP_Exports of goods and services, PPP (constant 2017 international $) per labor unit",Spain,ESP,"_Exports of goods and services, PPP (constant 2017 international $) per labor unit",19472.2891196361,19902.703460699344,20703.931316123184,20049.47224635538,17171.581489249485,19190.91019955607,21628.462915289318,22342.665642740136,23269.675345851378,24176.439682310258,25283.126418757143,26259.476668971325,28122.163413268278,28781.17298303762,exports_labor_unit
"ESP_Foreign direct investment, net inflows (% of GDP)",Spain,ESP,"Foreign direct investment, net inflows (% of GDP)",2.34181137917211,2.61468231232965,4.63475472746274,4.55866954148651,0.642832486133276,2.5768123129475002,1.81447968715079,1.5736837955695302,3.49680634167963,2.40567289745613,1.92759596471091,3.59177021418208,2.4049073820263596,3.8942743605148102,IDE
"ESP_GDP per capita, PPP (constant 2017 international $)",Spain,ESP,"GDP per capita, PPP (constant 2017 international $)",38007.769758419505,38903.9219529129,39567.0478705188,39286.292790307205,37474.4593687139,37363.127019218104,36927.400987242,35811.2978513859,35413.1124407971,36010.6909017848,37420.7861752375,38522.5845540659,39575.1604698573,40359.6992341838,gdb_hab
"ESP_GDP, PPP (constant 2017 international $)",Spain,ESP,"GDP, PPP (constant 2017 international $)",1659159064468.6,1727229833294.58,1789491079331.52,1805366463232.82,1737426336090.88,1740258518772.04,1726086315344.15,1675003804024.25,1650960895580.02,1673808674544.33,1738002127216.83,1790686208811.44,1843934791509.93,1888743276275.32,gdp
ESP_Gross capital formation (% of GDP),Spain,ESP,Gross capital formation (% of GDP),29.3871723618844,30.5653486720268,30.442224782178997,28.4545591375172,23.303342395141602,22.303066348842002,20.571875502344,18.435669125855,17.2156950373794,17.9020072508279,18.996278733098897,18.753321841557103,19.4111718466916,20.4668334660587,FBCF
"ESP_Labor force, total",Spain,ESP,"Labor force, total",21283877.0,21905331.0,22459241.0,23073217.0,23333899.0,23533345.0,23570743.0,23581654.0,23386629.0,23181003.0,23115401.0,23103511.0,23047059.0,23065037.0,labor_force
ESP_Labor tax and contributions (% of commercial profits),Spain,ESP,Labor tax and contributions (% of commercial profits),36.3,36.4,36.5,36.2,34.2,33.7,35.5,35.5,35.2,35.4,35.6,35.6,35.6,35.7,labor_tax_contrib
ESP_Other taxes payable by businesses (% of commercial profits),Spain,ESP,Other taxes payable by businesses (% of commercial profits),0.6,0.6,0.7,0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.7,0.7,0.7,other_taxes_entreprise
"ESP_Population, total",Spain,ESP,"Population, total",43653155.0,44397319.0,45226803.0,45954106.0,46362946.0,46576897.0,46742697.0,46773055.0,46620045.0,46480882.0,46444832.0,46484062.0,46593236.0,46797754.0,pop
ESP_Profit tax (% of commercial profits),Spain,ESP,Profit tax (% of commercial profits),23.4,23.4,23.4,21.9,20.9,20.7,1.2,1.2,20.8,21.7,13.4,12.5,10.6,10.6,profit_tax
ESP_Research and development expenditure (% of GDP),Spain,ESP,Research and development expenditure (% of GDP),1.0957700000000001,1.1721700000000002,1.23448,1.3170600000000001,1.35134,1.34961,1.32508,1.28788,1.2685899999999999,1.23535,1.21832,1.18526,1.2058,1.237,RetD
ESP_Total tax and contribution rate (% of profit),Spain,ESP,Total tax and contribution rate (% of profit),60.4,60.5,60.7,58.8,55.8,55.3,37.6,37.6,56.9,57.9,49.8,48.7,46.9,47.0,total_tax_contrib
"ESP_Unemployment, total (% of total labor force) (modeled ILO estimate)",Spain,ESP,"Unemployment, total (% of total labor force) (modeled ILO estimate)",9.14599990844727,8.451999664306639,8.23200035095215,11.253999710083,17.857000350952102,19.8600006103516,21.3899993896484,24.787000656127898,26.0939998626709,24.4409999847412,22.056999206543,19.6350002288818,17.2240009307861,15.255000114440902,unemployment rate
EST_Exports of goods and services (% of GDP),Estonia,EST,Exports of goods and services (% of GDP),65.4743048626097,63.305992202955,62.60846334380629,66.31155997679089,60.521955998429796,74.4453239453509,85.834019737538,85.5675643603915,84.0234047614844,81.3308975871643,76.8734131563936,76.3629444568467,75.63910893853021,74.1188607402362,exports_rate
"EST_Exports of goods and services, PPP (constant 2017 international $)",Estonia,EST,"Exports of goods and services, PPP (constant 2017 international $)",23193951188.02747,24605350295.09364,26177212545.7877,26314578011.07101,20550482558.64497,25958287347.810802,32157329310.1683,33059250721.75643,32899668031.71652,32796732861.35428,31571150637.55458,32361253642.13481,33817231886.69225,34580843575.0788,exports
"EST_Exports of goods and services, PPP (constant 2017 international $) per capita",Estonia,EST,"_Exports of goods and services, PPP (constant 2017 international $) per capita",17120.149979168105,18269.35521349978,19525.324869310873,19680.48374535073,15399.214365252523,19495.887904625175,24225.090049462386,24993.838887965514,24961.868677786457,24949.113846505275,24001.05111007816,24594.542930205283,25669.988315246163,26158.43057411649,exports_hab
"EST_Exports of goods and services, PPP (constant 2017 international $) per labor unit",Estonia,EST,"_Exports of goods and services, PPP (constant 2017 international $) per labor unit",34421.48102618714,35483.89697932379,37825.88205360591,37707.90984787772,29761.56917069991,37952.59902949972,46756.070811913756,48289.66674372802,48325.43769733064,48518.89150117948,46010.48225091133,46545.14048167868,48057.41197283475,48994.133846609875,exports_labor_unit
"EST_Foreign direct investment, net inflows (% of GDP)",Estonia,EST,"Foreign direct investment, net inflows (% of GDP)",21.687386059160104,10.334671646900699,13.5133309245829,8.11308653035083,9.45242335508754,13.1629261458393,4.78441683274804,7.70648020428168,4.3446022601445,6.65452895437801,-3.10412314619465,3.8160730370680698,6.4078551551167,3.9584720714579804,IDE
"EST_GDP per capita, PPP (constant 2017 international $)",Estonia,EST,"GDP per capita, PPP (constant 2017 international $)",26147.8911690514,28858.8087442487,31186.398493906603,29678.8127925793,25444.0130217405,26188.1967481756,28223.180183728502,29209.478001146603,29708.232781860297,30676.0586525763,31221.523963362597,32207.4313728223,33937.4546785149,35292.542698131496,gdb_hab
"EST_GDP, PPP (constant 2017 international $)",Estonia,EST,"GDP, PPP (constant 2017 international $)",35424509258.5516,38867332204.8416,41810980732.8107,39683243796.8299,33955417037.707996,34868929265.2771,37464550079.9083,38635259714.2046,39155361681.7935,40325059521.4509,41069011172.0749,42378216126.0458,44708659794.2006,46655929718.4478,gdp
EST_Gross capital formation (% of GDP),Estonia,EST,Gross capital formation (% of GDP),33.3772506135952,39.8569391355289,40.0142376766317,31.5965899372087,20.8915950261371,21.516818082807802,25.449829498384105,29.143491481816,27.0225349217838,26.9217625975038,24.819486277088398,24.908455823882104,26.727061581839198,26.748975445467,FBCF
"EST_Labor force, total",Estonia,EST,"Labor force, total",673822.0,693423.0,692045.0,697853.0,690504.0,683966.0,687768.0,684603.0,680794.0,675958.0,686173.0,695266.0,703684.0,705816.0,labor_force
EST_Labor tax and contributions (% of commercial profits),Estonia,EST,Labor tax and contributions (% of commercial profits),38.6,38.5,38.3,38.3,38.3,39.2,39.4,39.4,39.4,39.0,39.0,38.8,38.8,38.8,labor_tax_contrib
